U,V,ybar,yhat
1,1,0.8653846153846154,0.6550124716209057
1,2,0.5192307692307693,0.6085760386280932
1,3,0.5865384615384616,0.5203541271365986
1,4,0.625,0.5852648486316274
2,1,0.625,0.6036566920656524
2,2,0.5769230769230769,0.6081282735851473
2,3,0.7211538461538461,0.5217107272993532
2,4,0.6057692307692307,0.6631762081144721
3,1,0.4519230769230769,0.6148003114258841
3,2,0.4326923076923077,0.6291293334005345
3,3,0.4807692307692308,0.5310329284941947
3,4,0.5096153846153846,0.6354110128234602
4,1,0.40384615384615385,0.6211371978270285
4,2,0.8557692307692307,0.6136475310692677
4,3,0.7019230769230769,0.5361671846638225
4,4,0.7115384615384616,0.6370380624853561
