StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q3,Q4,Q23_First Click,Q23_Last Click,Q23_Page Submit,Q23_Click Count,Q100,Q101,Q102,Q103,Q104,Q105,Q106,Q107,Q108,Q109,Q110,Q111,Q112,Q113,ID,sourcefile,gender,age,Message,string,V,U,index_U,i.x,j.x,yhat.x,i.y,j.y,yhat.y,i.x.x,j.x.x,yhat.x.x,i.y.y,j.y.y,yhat.y.y,i.x.x.x,j.x.x.x,yhat.x.x.x,i.y.y.y,j.y.y.y,yhat.y.y.y,i.x.x.x.x,j.x.x.x.x,yhat.x.x.x.x,i.y.y.y.y,j.y.y.y.y,yhat.y.y.y.y,i.x.x.x.x.x,j.x.x.x.x.x,yhat.x.x.x.x.x,i.y.y.y.y.y,j.y.y.y.y.y,yhat.y.y.y.y.y,i.x.x.x.x.x.x,j.x.x.x.x.x.x,yhat.x.x.x.x.x.x,i.y.y.y.y.y.y,j.y.y.y.y.y.y,yhat.y.y.y.y.y.y,i.x.x.x.x.x.x.x,j.x.x.x.x.x.x.x,yhat.x.x.x.x.x.x.x,i.y.y.y.y.y.y.y,j.y.y.y.y.y.y.y,yhat.y.y.y.y.y.y.y,i,j,yhat,Y
2020-08-13 02:59:07,2020-08-13 03:08:24,0,100,556,1,2020-08-13 03:08:24,R_3m82csxLbVts9Ts,anonymous,EN,1,1,0,0,48.524,0,0,3,3,3,3,3,3,3,1,3,2,3,3,3,1,"F-OLD-R_August+13,+2020_08.25.csv",F,OLD,NA,woman over 50 years old,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36
2020-08-13 03:47:46,2020-08-13 03:50:44,0,100,178,1,2020-08-13 03:50:45,R_Uzs3DjETxhC8SEF,anonymous,EN,1,1,26.799,46.026,47.449,3,0,3,3,3,3,3,3,3,4,3,3,4,4,3,2,"F-OLD-R_August+13,+2020_08.25.csv",F,OLD,NA,woman over 50 years old,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42
2020-08-13 05:46:34,2020-08-13 05:49:25,0,100,170,1,2020-08-13 05:49:25,R_1imTPNLGyHwLXIs,anonymous,EN,1,1,0,0,70.785,0,1,1,2,2,2,2,3,4,2,3,4,4,4,1,3,"F-OLD-R_August+13,+2020_08.25.csv",F,OLD,NA,woman over 50 years old,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34
2020-08-13 06:17:10,2020-08-13 06:19:58,0,100,167,1,2020-08-13 06:19:58,R_2zckyFBb2WsrKIT,anonymous,EN,1,1,0,0,80.322,0,1,4,3,3,3,3,4,3,3,3,3,4,4,1,4,"F-OLD-R_August+13,+2020_08.25.csv",F,OLD,NA,woman over 50 years old,2,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41
2020-08-14 07:44:05,2020-08-14 07:49:03,0,100,298,1,2020-08-14 07:49:04,R_UGu7wiCGjHvt6AV,anonymous,EN,1,1,0,0,138.698,0,1,1,2,1,1,0,0,2,0,1,3,4,2,1,5,"F-OLD-R_August+14,+2020_12.03.csv",F,OLD,NA,woman over 50 years old,2,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
2020-08-14 08:53:41,2020-08-14 08:55:52,0,100,131,1,2020-08-14 08:55:53,R_20Y8rESuHnLxFCj,anonymous,EN,1,1,0,0,43.558,0,1,0,2,2,1,0,2,2,0,1,2,4,2,0,6,"F-OLD-R_August+14,+2020_12.03.csv",F,OLD,NA,woman over 50 years old,2,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
2020-08-14 09:22:19,2020-08-14 09:24:47,0,100,148,1,2020-08-14 09:24:47,R_2aKtqh914zZQ9ZL,anonymous,EN,1,1,0,0,53.287,0,1,0,1,1,0,1,1,1,0,0,1,4,0,1,7,"F-OLD-R_August+14,+2020_12.03.csv",F,OLD,NA,woman over 50 years old,2,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
2020-08-14 10:24:51,2020-08-14 10:27:37,0,100,165,1,2020-08-14 10:27:37,R_3Mg5UXf1KEXqVaM,anonymous,EN,1,1,0,0,80.813,0,1,4,3,4,4,3,4,4,3,4,4,3,4,4,8,"F-OLD-R_August+14,+2020_12.03.csv",F,OLD,NA,woman over 50 years old,2,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48
2020-08-16 05:04:37,2020-08-16 05:06:41,0,100,124,1,2020-08-16 05:06:42,R_SOxMpDEGEkW7iOB,anonymous,EN,1,1,0,0,43.689,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,9,"F-OLD-R_August+16,+2020_08.58.csv",F,OLD,NA,woman over 50 years old,2,1,10,5,2,0.5983078430520667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
2020-08-16 05:49:05,2020-08-16 05:52:45,0,100,220,1,2020-08-16 05:52:45,R_3QFBbAY0mOZzHty,anonymous,EN,1,1,0,0,92.673,0,1,1,4,3,3,2,2,4,1,3,4,4,4,1,10,"F-OLD-R_August+16,+2020_08.58.csv",F,OLD,NA,woman over 50 years old,2,1,11,9,6,0.5983078430520667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36
