U,index_U,i,V,index_V,j,yhat
1,13,1,3,16,15,0.44599875242925024
2,13,2,4,13,4,0.5022716830783798
3,13,3,1,14,5,0.5479526715242883
4,13,4,2,14,6,0.5796963218946175
1,14,5,3,15,11,0.44599875242925024
2,14,6,4,14,8,0.5022716830783798
3,14,7,1,15,9,0.5479526715242883
4,14,8,2,13,2,0.5796963218946175
1,15,9,3,14,7,0.44599875242925024
2,15,10,4,16,16,0.5022716830783798
3,15,11,1,16,13,0.5479526715242883
4,15,12,2,15,10,0.5796963218946175
1,16,13,3,13,3,0.44599875242925024
2,16,14,4,15,12,0.5022716830783798
3,16,15,1,13,1,0.5479526715242883
4,16,16,2,16,14,0.5796963218946175
