StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q3,Q4,Q24,Q31_First Click,Q31_Last Click,Q31_Page Submit,Q31_Click Count,Q32,message_final,SC0,ID,Recipient_Demographics,backbutton
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Please note that you must be 18 years of age or older to participate in this study.,"If you have read the information above and agree to participate with the understanding that the data (including any personal data) you submit will be processed accordingly, please check the relevant box below to get started.","It is important that you are aware of who you are writing the message 
to. Please click on the correct description of the recipient of your 
message.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Please write your message of advice in the box below. It should be about reconciling online work with family obligations, and it should be based on your own experiences. The person who will receive your message is an  and already has experience working on MTurk.

 

You will be able to submit your message after 5 minutes. Please write 200 words or more.

 
Your word count is: 0","Do you want to submit your message?

 

No changes can be made after submitting. Remember that your message needs to be 200 words or more.
 

To submit your message, click on the ""Submit"" button below.

 

Your word count is: 0",Score,ID,Recipient_Demographics,backbutton
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID20""}","{""ImportId"":""QID25_FIRST_CLICK""}","{""ImportId"":""QID25_LAST_CLICK""}","{""ImportId"":""QID25_PAGE_SUBMIT""}","{""ImportId"":""QID25_CLICK_COUNT""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""SC_cHAjHEeBurP7KDz""}","{""ImportId"":""ID""}","{""ImportId"":""Recipient_Demographics""}","{""ImportId"":""backbutton""}"
2020-07-13 19:41:38,2020-07-13 19:50:57,0,100,558,1,2020-07-13 19:50:57,R_30qs8qeHuR0SThy,anonymous,EN,1,1,3,0.793,462.727,465.373,10,"I find the best way to reconcile online work with family obligations is to set a schedule and follow it as closely as possible. I designate a certain part of the day for working. I ask that my family do not disturb me when I am working. However, they are allowed to contact me for emergency purposes. Also, I allow them to text me a quick question regarding things that need to be addressed immediately. I discussed these requirements with my family before I started working. Also, I give them task or chores that should be completed therefore they know what I expect them to do while I am working. I usually check in with them at the beginning of the day before I start to work so I can address any situations before I am busy. 

The second thing that you must do is carve out some time to spend with your family. This time should be used to talk and bond with your family. It will allow them to feel special and let them know that they are important to you. I will usually eat dinner with them and we discuss what happened today or the current events of the world. Basically, I believe the key to reconciling online work with family obligations is to set a schedule and prioritize your family along with your work. ","I find the best way to reconcile online work with family obligations is to set a schedule and follow it as closely as possible. I designate a certain part of the day for working. I ask that my family do not disturb me when I am working. However, they are allowed to contact me for emergency purposes. Also, I allow them to text me a quick question regarding things that need to be addressed immediately. I discussed these requirements with my family before I started working. Also, I give them task or chores that should be completed therefore they know what I expect them to do while I am working. I usually check in with them at the beginning of the day before I start to work so I can address any situations before I am busy. 

The second thing that you must do is carve out some time to spend with your family. This time should be used to talk and bond with your family. It will allow them to feel special and let them know that they are important to you. I will usually eat dinner with them and we discuss what happened today or the current events of the world. Basically, I believe the key to reconciling online work with family obligations is to set a schedule and prioritize your family along with your work. ",0,1,"<object width=""80"" height=""20"" type=""text/plain"" data=""https://raw.githubusercontent.com/maxkasy/Adaptive_matching_messages/master/Pipeline/Qualtrics_input/F-US-1/1_recipient.txt"" border=""0"" >
</object>",gone
2020-07-13 20:57:14,2020-07-13 21:04:46,0,100,451,1,2020-07-13 21:04:46,R_1gnm7fd2RWSbt0e,anonymous,EN,1,1,3,32.403,366.925,367.364,3,"Sometimes, it is hard reconciling online work with family obligations.  I think some people are under the impression that because one works at home, one can just stop anytime to attend to another's needs.  We who do this type of work know that is not the case.  You have to work when it's available.  

I have had times when a family member needed my assistance (or, more often, simply wanted it).  If it was a real emergency, I would stop working as I didn't know what else to do.  While I was sort of annoyed that I was inconvenienced through lost pay, I usually did what I felt was needed.  Other times, I would be more straightforward with the person.  I would simply tell them I had to work and didn't want to abandon that work for something trivial.  The family member got peeved a few times, but I didn't feel guilty.  She didn't understand the situation fully.  

So, my advice is to stand up for yourself.  You need to make money sometimes and can't drop everything at the drop of a hat.  I ask the person to put themselves in my shoes.  While they may not understand completely, I don't let it bother me and neither should you.","Sometimes, it is hard reconciling online work with family obligations.  I think some people are under the impression that because one works at home, one can just stop anytime to attend to another's needs.  We who do this type of work know that is not the case.  You have to work when it's available.  

I have had times when a family member needed my assistance (or, more often, simply wanted it).  If it was a real emergency, I would stop working as I didn't know what else to do.  While I was sort of annoyed that I was inconvenienced through lost pay, I usually did what I felt was needed.  Other times, I would be more straightforward with the person.  I would simply tell them I had to work and didn't want to abandon that work for something trivial.  The family member got peeved a few times, but I didn't feel guilty.  She didn't understand the situation fully.  

So, my advice is to stand up for yourself.  You need to make money sometimes and can't drop everything at the drop of a hat.  I ask the person to put themselves in my shoes.  While they may not understand completely, I don't let it bother me and neither should you.",0,2,"<object width=""80"" height=""20"" type=""text/plain"" data=""https://raw.githubusercontent.com/maxkasy/Adaptive_matching_messages/master/Pipeline/Qualtrics_input/F-US-1/2_recipient.txt"" border=""0"" >
</object>",gone
2020-07-13 21:21:24,2020-07-13 21:28:12,0,100,408,1,2020-07-13 21:28:13,R_2mkOr0yJaHG2kVz,anonymous,EN,1,1,3,0.69,338.392,339.47,13,"I think that the best way to have working online from home and not neglecting family obligations is to make sure you give everything the time it is due. You can't work 12 hour days seven days a week and stay on the computer all the time, or whatever the extreme maybe. You have to set a schedule of the work is not already scheduling and stick to it so that you still have time to take care of and do things with your family. 
When I first started online work I often worked at least ten hours a day online and then went to a second job after that for at least two or three hours a day. It was doable but it did not leave me for much time for anything else. So I started making sure I worked by a schedule and even dropped the second job to make sure I was home with my family and not leaving friends feeling like I forgot about them or was being rude. But I don't have those problems anymore unless I just get consumed with work and forget to take off time when I am supposed to to uphold my obligations. ","I think that the best way to have working online from home and not neglecting family obligations is to make sure you give everything the time it is due. You can't work 12 hour days seven days a week and stay on the computer all the time, or whatever the extreme maybe. You have to set a schedule of the work is not already scheduling and stick to it so that you still have time to take care of and do things with your family. 
When I first started online work I often worked at least ten hours a day online and then went to a second job after that for at least two or three hours a day. It was doable but it did not leave me for much time for anything else. So I started making sure I worked by a schedule and even dropped the second job to make sure I was home with my family and not leaving friends feeling like I forgot about them or was being rude. But I don't have those problems anymore unless I just get consumed with work and forget to take off time when I am supposed to to uphold my obligations. ",0,3,"<object width=""80"" height=""20"" type=""text/plain"" data=""https://raw.githubusercontent.com/maxkasy/Adaptive_matching_messages/master/Pipeline/Qualtrics_input/F-US-1/3_recipient.txt"" border=""0"" >
</object>",gone
2020-07-14 00:25:22,2020-07-14 00:37:48,0,100,745,1,2020-07-14 00:37:48,R_xo8EzXWHWdfUiHL,anonymous,EN,1,1,3,0.639,628.285,628.962,39,"Alot of people bring their work home with them. They carry it in and set it down on the floor and it gets in the way of finding balance. Alot of people work from home and they have no where to hide from the day to day. I am one of these people. The work is littered around the house and I trip over it. I have felt this way more days than I can remember. My family needs so much from me and the things that I give are causing us to not be able to relax. The stress radiates throughout the home life an office still buzzing after a busy day. 
I continue to live in the same mindset as if I never clock out. My shift never ends. I never go home and unwind and get ready to face another day. 
There needs to be a separation from work and home. Even small differences in your day add up. The clutter will begin to disappear and you'll feel a weight lift off of you. You have so much to offer your family and the environment and relationships you have in your life. Every day is an opportunity to move forward with them. ","Alot of people bring their work home with them. They carry it in and set it down on the floor and it gets in the way of finding balance. Alot of people work from home and they have no where to hide from the day to day. I am one of these people. The work is littered around the house and I trip over it. I have felt this way more days than I can remember. My family needs so much from me and the things that I give are causing us to not be able to relax. The stress radiates throughout the home life an office still buzzing after a busy day. 
I continue to live in the same mindset as if I never clock out. My shift never ends. I never go home and unwind and get ready to face another day. 
There needs to be a separation from work and home. Even small differences in your day add up. The clutter will begin to disappear and you'll feel a weight lift off of you. You have so much to offer your family and the environment and relationships you have in your life. Every day is an opportunity to move forward with them. ",0,4,"<object width=""80"" height=""20"" type=""text/plain"" data=""https://raw.githubusercontent.com/maxkasy/Adaptive_matching_messages/master/Pipeline/Qualtrics_input/F-US-1/4_recipient.txt"" border=""0"" >
</object>",gone
2020-07-21 12:32:56,2020-07-21 12:44:02,0,100,665,1,2020-07-21 12:44:02,R_1FaJOd6uNxJLsEz,anonymous,EN,1,1,3,0.66,505.135,506.95,8,"hi there, if you are trying to find balance withing work and your family. i would choose slowing down or cutting back your time spent on the platform. TRY spending time with your family and balance out your work life, cut back on the time spent on hits and try to workout what you need to do to get to a better place and pace working full time or part time, so you have time for yourself and for your family , online work is hard and you have to try and find that balance, like i did . put off work sometimes just to make yourself and your day better. sometimes you have to choose which is more important and figure it out from there. go with whats best for you and your health and for your family to get through the day and to get through life. its all about what makes you happy and how you can find that balance basically and who you can count on trying to make that balance for yourself and for your family and for work in your day to day life and working on mturk. maybe if its too draining try other jobs.","hi there, if you are trying to find balance withing work and your family. i would choose slowing down or cutting back your time spent on the platform. TRY spending time with your family and balance out your work life, cut back on the time spent on hits and try to workout what you need to do to get to a better place and pace working full time or part time, so you have time for yourself and for your family , online work is hard and you have to try and find that balance, like i did . put off work sometimes just to make yourself and your day better. sometimes you have to choose which is more important and figure it out from there. go with whats best for you and your health and for your family to get through the day and to get through life. its all about what makes you happy and how you can find that balance basically and who you can count on trying to make that balance for yourself and for your family and for work in your day to day life and working on mturk. maybe if its too draining try other jobs.",0,5,"<object width=""80"" height=""20"" type=""text/plain"" data=""https://raw.githubusercontent.com/maxkasy/Adaptive_matching_messages/master/Pipeline/Qualtrics_input/F-US-1/5_recipient.txt"" border=""0"" >
</object>",gone
2020-07-21 13:15:11,2020-07-21 13:22:33,0,100,441,1,2020-07-21 13:22:34,R_3OZh63KuCMbnRWp,anonymous,EN,1,1,3,7.121,198.597,370.318,10,"I have found that is important to maintain a regular and scheduled day even though you are working from home. I get up at the same time every morning and I get showered and dressed as if I am going to leave the house. I know what time I am breaking for lunch and I take that break. I have a dedicated space for my home office and that space is off limits to anything that would not ordinary enter my work space during a regular working day. I also have my set break times and make sure that I take those breaks. Sometimes we think that as we work from home we do not need those breaks but we really do. When the working day is done I will leave that working space. It is important to not let your work from home time become your home time. This is a serious job that requires separate and equally serious consideration. When the day is over, go and change into comfy jam jams and do as you would if you had just gotten home from work. Enjoy the lack of commuting and being home but never ever treat it like you are home.","I have found that is important to maintain a regular and scheduled day even though you are working from home. I get up at the same time every morning and I get showered and dressed as if I am going to leave the house. I know what time I am breaking for lunch and I take that break. I have a dedicated space for my home office and that space is off limits to anything that would not ordinary enter my work space during a regular working day. I also have my set break times and make sure that I take those breaks. Sometimes we think that as we work from home we do not need those breaks but we really do. When the working day is done I will leave that working space. It is important to not let your work from home time become your home time. This is a serious job that requires separate and equally serious consideration. When the day is over, go and change into comfy jam jams and do as you would if you had just gotten home from work. Enjoy the lack of commuting and being home but never ever treat it like you are home.",0,6,"<object width=""80"" height=""20"" type=""text/plain"" data=""https://raw.githubusercontent.com/maxkasy/Adaptive_matching_messages/master/Pipeline/Qualtrics_input/F-US-1/6_recipient.txt"" border=""0"" >
</object>",gone
2020-07-21 13:51:21,2020-07-21 13:58:13,0,100,411,1,2020-07-21 13:58:13,R_3lrTePYxsr9jFcM,anonymous,EN,1,1,3,0.39,267.656,304.541,4,"In order to reconcile online work with family obligations, first, make sure to set aside time specifically for both. This might involve creating a schedule that clearly outlines when you are working and when you are ""off the clock."" This way, you and your family will know when you have to be working, and when you are free to chat, help the kids with homework, and enjoy your time with them. 

Second, make sure to create a separate workspace for your online work that is free from distractions. You could use an office, guest bedroom, or even patio if you have one. Wherever you pick, talk with your family about how during your ""work hours"" that is your space and go over what that means. It might mean you don't mind if they are around you, but they have to be quiet. Or it might mean they can be there, but if you are on a video call or phone call, they should go to another area. Come up with this decision with your family so you can all agree on something that makes sense together. 

Lastly, make sure that you make time for family obligations. In your schedule, make sure to include things like ""make dinner with my wife,"" or, ""go to the park with my son."" That way, your family will be reassured you will still make time for them despite working online 8 or more hours a day. This will likely decrease interruptions during the work day. ","In order to reconcile online work with family obligations, first, make sure to set aside time specifically for both. This might involve creating a schedule that clearly outlines when you are working and when you are ""off the clock."" This way, you and your family will know when you have to be working, and when you are free to chat, help the kids with homework, and enjoy your time with them. 

Second, make sure to create a separate workspace for your online work that is free from distractions. You could use an office, guest bedroom, or even patio if you have one. Wherever you pick, talk with your family about how during your ""work hours"" that is your space and go over what that means. It might mean you don't mind if they are around you, but they have to be quiet. Or it might mean they can be there, but if you are on a video call or phone call, they should go to another area. Come up with this decision with your family so you can all agree on something that makes sense together. 

Lastly, make sure that you make time for family obligations. In your schedule, make sure to include things like ""make dinner with my wife,"" or, ""go to the park with my son."" That way, your family will be reassured you will still make time for them despite working online 8 or more hours a day. This will likely decrease interruptions during the work day. ",0,7,"<object width=""80"" height=""20"" type=""text/plain"" data=""https://raw.githubusercontent.com/maxkasy/Adaptive_matching_messages/master/Pipeline/Qualtrics_input/F-US-1/7_recipient.txt"" border=""0"" >
</object>",gone
2020-07-21 14:41:07,2020-07-21 14:48:20,0,100,432,1,2020-07-21 14:48:20,R_pbhTr3XbPLFxsNX,anonymous,EN,1,1,3,2.353,271.971,343.595,2,an american man was already experience working on mturk so so many people are be about reconciling online work with family obligations for the student sbut it consider the working people are very important to do the work of the country. somebodies are trying to get the work somebodies are not interested to getting the work that all her or his mind diversion so consider the people mind set and act that person correctly so be careful online work with family obligations are so many people are like so many people are not like that because of her or his situation are the must in the american man and already has experience working on mturk in the box it should be about reconciling so i think i was very happy to share this information to the others and yours so you will be very happy to learn this correctly as quickly as possible. i can help you must in the time of the period some people are trying to get the married and they are not consider the family obligations they are want only children so the people are want to consider this mturk id correctly use and benefited them. thank you,an american man was already experience working on mturk so so many people are be about reconciling online work with family obligations for the student sbut it consider the working people are very important to do the work of the country. somebodies are trying to get the work somebodies are not interested to getting the work that all her or his mind diversion so consider the people mind set and act that person correctly so be careful online work with family obligations are so many people are like so many people are not like that because of her or his situation are the must in the american man and already has experience working on mturk in the box it should be about reconciling so i think i was very happy to share this information to the others and yours so you will be very happy to learn this correctly as quickly as possible. i can help you must in the time of the period some people are trying to get the married and they are not consider the family obligations they are want only children so the people are want to consider this mturk id correctly use and benefited them. thank you,0,8,"<object width=""80"" height=""20"" type=""text/plain"" data=""https://raw.githubusercontent.com/maxkasy/Adaptive_matching_messages/master/Pipeline/Qualtrics_input/F-US-1/8_recipient.txt"" border=""0"" >
</object>",gone
